season;time;home;numpen;goaldiff;pendiff;ppgoal;capacity;month;timebetpens;inRow;gf1;ga1;pf1;pa1;gf2;ga2;pf2;pa2
2014-2015;2.49;0;1;0;0;0;0;1;;0;;;;;2.78;2.10;3.58;3.73
2014-2015;6.19;1;2;0;-1;0;0;1;3.7;-1;2.58;2.05;4.32;3.97;2.58;2.05;4.32;3.97
2014-2015;9.25;1;3;0;0;0;0;1;3.06;1;2.78;2.10;3.58;3.73;2.58;2.05;4.32;3.97
2014-2015;9.4;0;4;0;1;0;0;1;0.15;2;2.78;2.10;3.58;3.73;2.78;2.10;3.58;3.73
2014-2015;13.02;0;5;0;0;0;0;1;3.62;-1;2.58;2.05;4.32;3.97;2.78;2.10;3.58;3.73
2014-2015;15.24;1;6;0;-1;0;0;1;2.22;-2;2.58;2.05;4.32;3.97;2.58;2.05;4.32;3.97
2014-2015;18.17;0;7;0;0;0;0;1;2.93;1;2.78;2.10;3.58;3.73;2.78;2.10;3.58;3.73
2014-2015;24.51;0;8;0;-1;0;0;1;6.34;-1;2.58;2.05;4.32;3.97;2.78;2.10;3.58;3.73
2014-2015;33.09;1;9;1;-2;0;0;1;8.58;-2;2.58;2.05;4.32;3.97;2.58;2.05;4.32;3.97
2014-2015;36.13;1;10;1;-1;0;0;1;3.04;1;2.78;2.10;3.58;3.73;2.58;2.05;4.32;3.97
2014-2015;39.25;0;11;1;0;0;0;1;3.12;2;2.78;2.10;3.58;3.73;2.78;2.10;3.58;3.73
2014-2015;44.09;0;12;1;-1;0;0;1;4.84;-1;2.58;2.05;4.32;3.97;2.78;2.10;3.58;3.73
2014-2015;47.18;0;13;1;-2;0;0;1;3.09;-2;2.58;2.05;4.32;3.97;2.78;2.10;3.58;3.73
2014-2015;47.55;0;14;1;-3;0;0;1;0.37;-3;2.58;2.05;4.32;3.97;2.78;2.10;3.58;3.73
2014-2015;53.05;1;15;2;-4;1;0;1;5.5;-4;2.58;2.05;4.32;3.97;2.58;2.05;4.32;3.97
2014-2015;54.47;1;16;2;-3;0;0;1;1.42;1;2.78;2.10;3.58;3.73;2.58;2.05;4.32;3.97
2014-2015;4.38;0;1;0;0;0;0;1;;0;;;;;2.95;2.50;4.23;3.28
2014-2015;5.53;1;2;0;-1;0;0;1;1.15;-1;2.77;2.48;3.73;4.48;2.77;2.48;3.73;4.48
2014-2015;9.48;1;3;-1;0;1;0;1;3.95;1;2.95;2.50;4.23;3.28;2.77;2.48;3.73;4.48
2014-2015;11.46;0;4;-2;1;1;0;1;1.98;2;2.95;2.50;4.23;3.28;2.95;2.50;4.23;3.28
2014-2015;13.44;0;5;-2;0;0;0;1;1.98;-1;2.77;2.48;3.73;4.48;2.95;2.50;4.23;3.28
2014-2015;19.53;1;6;-2;-1;0;0;1;6.09;-2;2.77;2.48;3.73;4.48;2.77;2.48;3.73;4.48
2014-2015;23.35;0;7;-2;0;0;0;1;3.82;1;2.95;2.50;4.23;3.28;2.95;2.50;4.23;3.28
2014-2015;34.51;1;8;0;-1;0;0;1;11.16;-1;2.77;2.48;3.73;4.48;2.77;2.48;3.73;4.48
2014-2015;38.18;0;9;0;0;0;0;1;3.67;1;2.95;2.50;4.23;3.28;2.95;2.50;4.23;3.28
2014-2015;41.3;0;10;0;-1;0;0;1;3.12;-1;2.77;2.48;3.73;4.48;2.95;2.50;4.23;3.28
2014-2015;42.2;0;11;1;-2;1;0;1;0.9;-2;2.77;2.48;3.73;4.48;2.95;2.50;4.23;3.28
2014-2015;50.02;1;12;1;-3;0;0;1;7.82;-3;2.77;2.48;3.73;4.48;2.77;2.48;3.73;4.48
2014-2015;50.4;0;13;1;-2;0;0;1;0.38;1;2.95;2.50;4.23;3.28;2.95;2.50;4.23;3.28
2014-2015;2.18;0;1;0;0;0;1;1;;0;;;;;2.72;2.45;4.28;3.80
2014-2015;5.45;1;2;0;-1;0;1;1;3.27;-1;2.52;2.38;3.97;3.80;2.52;2.38;3.97;3.80
2014-2015;9.37;1;3;0;0;0;1;1;3.92;1;2.72;2.45;4.28;3.80;2.52;2.38;3.97;3.80
2014-2015;10.09;0;4;0;1;0;1;1;0.72;2;2.72;2.45;4.28;3.80;2.72;2.45;4.28;3.80
2014-2015;11.35;1;5;0;0;0;1;1;1.26;-1;2.52;2.38;3.97;3.80;2.52;2.38;3.97;3.80
2014-2015;12.33;0;6;0;1;0;1;1;0.98;1;2.72;2.45;4.28;3.80;2.72;2.45;4.28;3.80
2014-2015;12.49;0;7;0;0;0;1;1;0.16;-1;2.52;2.38;3.97;3.80;2.72;2.45;4.28;3.80
2014-2015;14.43;0;8;0;-1;0;1;1;1.94;-2;2.52;2.38;3.97;3.80;2.72;2.45;4.28;3.80
2014-2015;15.53;0;9;0;-2;0;1;1;1.1;-3;2.52;2.38;3.97;3.80;2.72;2.45;4.28;3.80
